Date;Doc;Description;Montant;Cpte;SsCpte;Dest
05/01/2023;15079;Arrêté compte VISA Premier;3 651,97 €;BIL;01;Premier
10/01/2023;15080;Dr C;60,00 €;SAN;01;MC
10/01/2023;15080;Dr C;-60,00 €;BIL;01;Général
13/01/2023;15081;Fdb;-75,00 €;BIL;01;Général
13/01/2023;15081;Fdb;75,00 €;SAN;01;MC
09/01/2023;15082;Virement livret A;-6 560,00 €;BIL;01;Général
09/01/2023;15082;Virement livret A;6 560,00 €;BIL;12;LA-Bruno
09/01/2023;15083;Virement livret A;-6 890,00 €;BIL;98;MC
09/01/2023;15083;Virement livret A;6 890,00 €;BIL;12;LA-MC
11/01/2023;15084;Carrefour;44,99 €;BIL;01;Général
11/01/2023;15084;Carrefour;-44,99 €;LOI;03;Arnaud
02/01/2023;15086;ESBJ - Rémunération;-3 200,00 €;PRF;01;Bruno
02/01/2023;15086;ESBJ - Rémunération;3 200,00 €;BIL;01;Général
03/01/2023;15089;Free Mobile - 1597 1829 - Tél 06 48 55 53 00;19,99 €;LOG;08;Arnaud
03/01/2023;15089;Free Mobile - 1597 1829 - Tél 06 48 55 53 00;-19,99 €;BIL;01;Général
03/01/2023;15089;Free Mobile - 1597 1837 - Tél  - 06 48 55 54 20;19,99 €;LOG;08;Baptiste
03/01/2023;15089;Free Mobile - 1597 1837 - Tél  - 06 48 55 54 20;-19,99 €;BIL;01;Général
04/01/2023;15094;CPAM Pension;-705,31 €;PRF;05;MC
04/01/2023;15094;CPAM Pension - Prélèvement à la source;110,98 €;IMP;01;Général
04/01/2023;15094;CPAM Pension;594,33 €;BIL;01;Général
05/01/2023;15095;AXA Pension;-363,28 €;PRF;05;MC
05/01/2023;15095;AXA Pension;0,00 €;IMP;01;Général
05/01/2023;15095;AXA Pension;363,28 €;BIL;01;Général
03/01/2023;15096;POLE EMPLOI - ARE;-1 128,09 €;PRF;01;MC
03/01/2023;15096;POLE EMPLOI - ARE - Prélèvement à la source;171,43 €;IMP;01;Général
03/01/2023;15096;POLE EMPLOI - ARE;956,66 €;BIL;01;Général
09/01/2023;15098;MAIF - Assurance;306,13 €;BAS;01;Général
09/01/2023;15098;MAIF - Assurance;-306,13 €;BIL;01;Général
11/01/2023;15099;MFTGS - Cotisation;156,00 €;PRS;01;MFGTS
11/01/2023;15099;MFTGS - Cotisation;-156,00 €;BIL;01;Général
11/01/2023;15101;Carrefour;38,83 €;ALI;01;Général
11/01/2023;15101;Carrefour;-38,83 €;BIL;01;Général
15/01/2023;15102;Virement livret A - Annulation;-6 780,00 €;BIL;98;Bruno
15/01/2023;15102;Virement livret A - Annulation;6 780,00 €;BIL;01;Général
01/01/2023;15104;Gérentes;15,26 €;ALI;01;Général
01/01/2023;15104;Essence Clio Blanche;49,73 €;VOI;02;Clioblanche
07/01/2023;15104;Pogne;10,30 €;ALI;01;Général
13/01/2023;15104;DocteurTorres Bruno;25,00 €;SAN;01;Bruno
13/01/2023;15104;Boulangerie;10,30 €;ALI;01;Général
14/01/2023;15104;Gérentes;39,04 €;ALI;01;Général
15/01/2023;15104;Dépenses Bruno;-149,63 €;BIL;98;Bruno
15/01/2023;15105;Remboursement frais Bruno;166,33 €;BIL;98;Bruno
15/01/2023;15105;Remboursement frais Bruno;-166,33 €;BIL;01;Général
13/01/2023;15106;Divers alimentation;7,05 €;ALI;01;Général
13/01/2023;15106;Répartition d'espèces;-7,05 €;BIL;00;Général
15/01/2023;15108;Transfert paiement RIGOULET;-10 772,30 €;BIL;01;Général
15/01/2023;15108;Transfert paiement RIGOULET;10 772,30 €;BIL;01;Général
09/01/2023;15109;Carrefour;33,75 €;999;99;Général
09/01/2023;15109;Carrefour;5,08 €;999;99;Général
09/01/2023;15109;Carrefour;-38,83 €;999;99;Général
10/01/2023;15110;Melean;15,12 €;ALI;01;Général
10/01/2023;15110;Melean;-15,12 €;BIL;01;Premier
10/01/2023;15111;Union primeurs;33,96 €;ALI;01;Général
10/01/2023;15111;Union primeurs;-33,96 €;BIL;01;Premier
10/01/2023;15112;Pharmacie Championnet;22,85 €;SAN;01;Général
10/01/2023;15112;Pharmacie Championnet;-22,85 €;BIL;01;Premier
10/01/2023;15113;Pharmacie Championnet : annulé Cf. payé MC;0,00 €;BIL;01;Premier
10/01/2023;15114;L'autre moi;94,00 €;SAN;02;Général
10/01/2023;15114;L'autre moi;-94,00 €;BIL;01;Premier
12/01/2023;15115;Epicuria;16,05 €;ALI;01;Général
12/01/2023;15115;Epicuria;-16,05 €;BIL;01;Premier
13/01/2023;15116;Pharmacie des Béalières;2,18 €;SAN;01;Général
13/01/2023;15116;Pharmacie des Béalières;-2,18 €;BIL;01;Premier
13/01/2023;15117;L'amylois;3,80 €;ALI;01;Général
13/01/2023;15117;L'amylois;-3,80 €;BIL;01;Premier
14/01/2023;15118;Au petit primeur Chabeuil;21,20 €;ALI;01;Général
14/01/2023;15118;Au petit primeur Chabeuil;-21,20 €;BIL;01;Premier
16/01/2023;15119;Boulangerie école L'Aura;9,70 €;ALI;01;Général
16/01/2023;15119;Boulangerie école L'Aura;-9,70 €;BIL;01;Premier
17/01/2023;15120;Ferme des Blaches;45,00 €;ALI;01;Général
17/01/2023;15120;Ferme des Blaches;-45,00 €;BIL;01;Premier
17/01/2023;15121;Boulangerie école L'Aura;7,90 €;ALI;01;Général
17/01/2023;15121;Boulangerie école L'Aura;-7,90 €;BIL;01;Premier
17/01/2023;15122;Charcuterie des Limouches;16,31 €;ALI;01;Général
17/01/2023;15122;Charcuterie des Limouches;-16,31 €;BIL;01;Premier
17/01/2023;15123;Court-circuit;21,02 €;ALI;01;Général
17/01/2023;15123;Court-circuit;-21,02 €;BIL;01;Premier
17/01/2023;15124;Total;68,98 €;VOI;02;Clioblanche
17/01/2023;15124;Total;-68,98 €;BIL;01;Premier
17/01/2023;15125;CGRET;30,00 €;SCO;05;MC
17/01/2023;15125;CGRET;-30,00 €;BIL;01;Général
16/01/2023;15126;Area;139,23 €;VOI;01;Général
16/01/2023;15126;Area;-139,23 €;BIL;01;Général
18/01/2023;15127;Rbst MFTGS;-17,50 €;SAN;01;MC
18/01/2023;15127;Rbst MFTGS;17,50 €;BIL;01;Général
19/01/2023;15128;Ikea;53,98 €;LOG;02;Général
19/01/2023;15128;Ikea;-53,98 €;BIL;01;Premier
19/01/2023;15129;Petit Casino;11,45 €;ALI;01;Général
19/01/2023;15129;Petit Casino;-11,45 €;BIL;01;Premier
19/01/2023;15130;La Poste;21,12 €;LOG;10;Général
19/01/2023;15130;La Poste;-21,12 €;BIL;01;Premier
20/01/2023;15131;ORL;15,00 €;SAN;01;MC
20/01/2023;15131;ORL;-15,00 €;BIL;01;Premier
23/01/2023;15132;Trattoria Bella;37,00 €;ALI;01;Général
23/01/2023;15132;Trattoria Bella;-37,00 €;BIL;01;Premier
24/01/2023;15133;Horodateurs Gre;3,90 €;VOI;01;Général
24/01/2023;15133;Horodateurs Gre;-3,90 €;BIL;01;Premier
24/01/2023;15134;Autour de Bébé;171,95 €;LOG;02;Général
24/01/2023;15134;Autour de Bébé;-211,95 €;BIL;01;Premier
24/01/2023;15134;Autour de Bébé;40,00 €;HAb;01;Claire
24/01/2023;15135;L'amylois;7,70 €;ALI;01;Général
24/01/2023;15135;L'amylois;-7,70 €;BIL;01;Premier
24/01/2023;15136;Eau vive;41,63 €;ALI;01;Général
24/01/2023;15136;Eau vive;-41,63 €;BIL;01;Premier
24/01/2023;15137;Picard;25,89 €;ALI;01;Général
24/01/2023;15137;Picard;-25,89 €;BIL;01;Premier
25/01/2023;15138;Pharmacie des Béalières;37,30 €;SAN;01;Claire
25/01/2023;15138;Pharmacie des Béalières;-57,30 €;BIL;01;Premier
25/01/2023;15138;Pharmacie des Béalières;20,00 €;SAN;01;Général
26/01/2023;15139;Essentiels bébé;7,10 €;LOG;02;Claire
26/01/2023;15139;Essentiels bébé;-7,10 €;BIL;01;Premier
26/01/2023;15140;Essentiels bébé;4,95 €;LOG;02;Claire
26/01/2023;15140;Essentiels bébé;-4,95 €;BIL;01;Premier
26/01/2023;15141;Dr C;-63,00 €;BIL;01;Général
26/01/2023;15141;Dr C;63,00 €;SAN;01;Général
26/01/2023;15142;Garage Murat;-333,00 €;BIL;01;Général
26/01/2023;15142;Garage Murat;333,00 €;VOI;02;Clioblanche
24/01/2023;15143;Carrefour;-182,32 €;BIL;01;Général
24/01/2023;15143;Carrefour;132,10 €;ALI;01;Général
24/01/2023;15143;Carrefour;43,43 €;LOG;02;Général
24/01/2023;15143;Carrefour;6,79 €;LOG;02;Claire
26/01/2023;15144;Pain Gre;2,00 €;999;99;Général
26/01/2023;15144;Pain Gre;-2,00 €;999;99;Général
26/01/2023;15145;L'amylois;4,10 €;ALI;01;Général
26/01/2023;15145;L'amylois;-4,10 €;BIL;01;Premier
26/01/2023;15146;Petit casino;4,70 €;ALI;01;Général
26/01/2023;15146;Petit casino;-4,70 €;BIL;01;Premier
27/01/2023;15147;Epicuria;3,75 €;ALI;01;Général
27/01/2023;15147;Epicuria;-12,75 €;BIL;01;Premier
27/01/2023;15147;Epicuria;9,00 €;BIL;98;MC
27/01/2023;15148;Melean;26,13 €;ALI;01;Général
27/01/2023;15148;Melean;-26,13 €;BIL;01;Premier
27/01/2023;15149;Union primeurs;29,73 €;ALI;01;Général
27/01/2023;15149;Union primeurs;-29,73 €;BIL;01;Premier
27/01/2023;15150;Prêt en liquide;100,00 €;BIL;98;Claire
27/01/2023;15150;Prêt en liquide;-100,00 €;BIL;00;Général
01/02/2023;15151;Divers alimentation;20,00 €;ALI;01;Général
01/02/2023;15151;Répartition d'espèces;-33,70 €;BIL;00;Général
01/02/2023;15151;Don;1,00 €;LOI;06;Général
28/01/2023;15151;Encyclique St Fds;5,00 €;LOI;03;Général
28/01/2023;15151;Divers alimentation;4,00 €;ALI;01;Général
04/02/2023;15151;Divers alimentation;2,70 €;ALI;01;Général
09/02/2023;15151;Parking Gre;1,00 €;VOI;01;Général
30/01/2023;15152;Carrefour;-45,67 €;BIL;01;Général
30/01/2023;15152;Carrefour;45,67 €;ALI;01;Général
01/02/2023;15153;Pharmacie des Béalières;15,01 €;SAN;01;Général
01/02/2023;15153;Pharmacie des Béalières;-15,01 €;BIL;01;Premier
01/02/2023;15154;L'amylois;9,30 €;ALI;01;Général
01/02/2023;15154;L'amylois;-9,30 €;BIL;01;Premier
01/02/2023;15155;Petit Casino;2,88 €;ALI;01;Général
01/02/2023;15155;Petit Casino;-2,88 €;BIL;01;Premier
02/02/2023;15156;Union primeurs;62,51 €;ALI;01;Général
02/02/2023;15156;Union primeurs;-62,51 €;BIL;01;Premier
03/02/2023;15157;Eau vive;19,99 €;SAN;02;Claire
03/02/2023;15157;Eau vive;10,20 €;ALI;01;Général
03/02/2023;15157;Eau vive;-30,19 €;BIL;01;Premier
04/02/2023;15158;L'amylois;4,30 €;ALI;01;Général
04/02/2023;15158;L'amylois;-4,30 €;BIL;01;Premier
04/02/2023;15159;Cash Bio Markal;93,28 €;ALI;01;Général
04/02/2023;15159;Cash Bio Markal;-93,28 €;BIL;01;Premier
04/02/2023;15160;Laiterie des Gérentes;120,05 €;ALI;01;Général
04/02/2023;15160;Laiterie des Gérentes;-120,05 €;BIL;01;Premier
07/02/2023;15161;Gamm vert;2,90 €;LOI;05;Montvendre
07/02/2023;15161;Gamm vert;-2,90 €;BIL;01;Premier
07/02/2023;15162;Ferme des Blaches;22,48 €;ALI;01;Général
07/02/2023;15162;Ferme des Blaches;-22,48 €;BIL;01;Premier
07/02/2023;15163;Boulangerie école L'Aura;25,80 €;ALI;01;Général
07/02/2023;15163;Boulangerie école L'Aura;-25,80 €;BIL;01;Premier
07/02/2023;15164;Casino;16,60 €;ALI;01;Général
07/02/2023;15164;Casino;-16,60 €;BIL;01;Premier
07/02/2023;15165;Laiterie des Gérentes;16,55 €;ALI;01;Général
07/02/2023;15165;Laiterie des Gérentes;-16,55 €;BIL;01;Premier
07/02/2023;15166;Court-circuit;15,99 €;ALI;01;Général
07/02/2023;15166;Court-circuit;-15,99 €;BIL;01;Premier
07/02/2023;15167;Total;44,60 €;VOI;02;Clioblanche
07/02/2023;15167;Total;-44,60 €;BIL;01;Premier
08/02/2023;15168;Rbst MFTGS;-75,00 €;SAN;01;MC
08/02/2023;15168;Rbst MFTGS;75,00 €;BIL;01;Général
08/02/2023;15169;Rbst MFTGS;-20,50 €;SAN;01;MC
08/02/2023;15169;Rbst MFTGS;20,50 €;BIL;01;Général
09/02/2023;15170;Pharmacie des Béalières;3,95 €;SAN;02;Claire
09/02/2023;15170;Pharmacie des Béalières;4,50 €;SAN;01;Général
09/02/2023;15170;Pharmacie des Béalières;-4,50 €;BIL;01;Premier
09/02/2023;15170;Pharmacie des Béalières;-3,95 €;BIL;01;Premier
09/02/2023;15171;Horodateurs Gre;1,00 €;VOI;01;Général
09/02/2023;15171;Horodateurs Gre;-1,00 €;BIL;01;Premier
09/02/2023;15172;Au minou;13,50 €;HAB;01;Général
09/02/2023;15172;Au minou;-13,50 €;BIL;01;Premier
09/02/2023;15173;Momie Mangas;29,90 €;LOI;03;Arnaud
09/02/2023;15173;Momie Mangas;-29,90 €;BIL;01;Premier
10/02/2023;15174;L'amylois;11,90 €;ALI;01;Général
10/02/2023;15174;L'amylois;-11,90 €;BIL;01;Premier
11/02/2023;15175;Laiterie des Gérentes;28,98 €;ALI;01;Général
11/02/2023;15175;Laiterie des Gérentes;-28,98 €;BIL;01;Premier
09/02/2023;15176;Dr C;-63,00 €;BIL;01;Général
09/02/2023;15176;Dr C;63,00 €;SAN;01;Général
13/02/2023;15177;Intermarché;61,28 €;VOI;02;Clioblanche
13/02/2023;15177;Intermarché;-61,28 €;BIL;01;Premier
14/02/2023;15178;Pharmacie Grand Pré;10,13 €;SAN;02;Claire
14/02/2023;15178;Pharmacie Grand Pré;-10,13 €;BIL;01;Premier
14/02/2023;15179;Vival;3,40 €;ALI;01;Général
14/02/2023;15179;Vival;-3,40 €;BIL;01;Premier
14/02/2023;15180;Boucherie Picoto;17,50 €;ALI;01;Général
14/02/2023;15180;Boucherie Picoto;-17,50 €;BIL;01;Premier
16/02/2023;15181;Frutti primeurs;14,70 €;ALI;01;Général
16/02/2023;15181;Frutti primeurs;-14,70 €;BIL;01;Premier
27/02/2023;15182;Gaz Tarif Reglementé -RDC;-326,15 €;BIL;01;Général
27/02/2023;15182;Gaz Tarif Reglementé -RDC;326,15 €;LOG;07;Général
27/02/2023;15183;Gaz Tarif Reglementé - 1er;-652,21 €;BIL;01;Général
27/02/2023;15183;Gaz Tarif Reglementé - 1er;652,21 €;LOG;07;Général
15/02/2023;15184;Area;67,30 €;VOI;01;Général
15/02/2023;15184;Area;-67,30 €;BIL;01;Général
06/02/2023;15185;Arrêté compte VISA Premier;-1 364,56 €;BIL;01;Général
06/02/2023;15185;Arrêté compte VISA Premier;1 364,56 €;BIL;01;Premier
10/01/2023;15186;FNAC;16,15 €;LOI;03;Général
10/01/2023;15186;FNAC;-16,15 €;BIL;01;Premier
02/02/2023;15187;ESBJ - Rémunération;-3 200,00 €;PRF;01;Bruno
02/02/2023;15187;ESBJ - Rémunération;3 200,00 €;BIL;01;Général
17/01/2023;15188;Jazz - Duo -50%;6,30 €;BAS;05;Général
17/01/2023;15188;Jazz - Duo -50%;-6,30 €;BIL;01;Général
17/01/2023;15188;Jazz - Cotisation;16,10 €;BAS;05;Général
17/01/2023;15188;Jazz - Cotisation;-16,10 €;BIL;01;Général
17/01/2023;15188;Jazz - Option Tranquillité Duo;0,49 €;BAS;05;Général
17/01/2023;15188;Jazz - Option Tranquillité Duo;-0,49 €;BIL;01;Général
17/01/2023;15188;Jazz - Option Tranquillité;0,70 €;BAS;05;Général
17/01/2023;15188;Jazz - Option Tranquillité;-0,70 €;BIL;01;Général
27/01/2023;15189;Orange  - N° client 0104525563 - 06 83 73 66 48;28,39 €;LOG;08;Clément
27/01/2023;15189;Orange  - N° client 0104525563 - 06 83 73 66 48;-28,39 €;BIL;01;Général
16/01/2023;15190;Acompte loyer Esthetic Center;-800,00 €;RFN;01;Texto
16/01/2023;15190;Acompte loyer Esthetic Center;800,00 €;BIL;01;Général
02/02/2023;15191;Free Mobile - 1597 1829 - Tél 06 48 55 53 00;19,99 €;LOG;08;Arnaud
02/02/2023;15191;Free Mobile - 1597 1829 - Tél 06 48 55 53 00;-19,99 €;BIL;01;Général
02/02/2023;15191;Free Mobile - 1597 1837 - Tél  - 06 48 55 54 20;19,99 €;LOG;08;Baptiste
02/02/2023;15191;Free Mobile - 1597 1837 - Tél  - 06 48 55 54 20;-19,99 €;BIL;01;Général
16/01/2023;15192;IRPP - Prelevement à la source;238,00 €;IMP;01;Général
16/01/2023;15192;IRPP - Prelevement à la source;-238,00 €;BIL;01;Général
16/01/2023;15193;CPAM;-41,50 €;PRS;01;CPAM
16/01/2023;15193;CPAM;41,50 €;BIL;01;Général
18/01/2023;15194;CPAM;-16,50 €;PRS;01;CPAM
18/01/2023;15194;CPAM;16,50 €;BIL;01;Général
08/02/2023;15195;CPAM;-36,08 €;PRS;01;CPAM
08/02/2023;15195;CPAM;36,08 €;BIL;01;Général
19/01/2023;15196;EDF (Client : 6017060888) Mtvdre Gd Père;-44,05 €;BIL;01;Général
19/01/2023;15196;EDF (Client : 6017060888) Mtvdre Gd Père;44,05 €;LOG;07;Montvendre
20/01/2023;15197;EDF (Client : 5013193405) Maison Mtvdre ;-112,54 €;BIL;01;Général
20/01/2023;15197;EDF (Client : 5013193405) Maison Mtvdre ;112,54 €;LOG;07;Montvendre
24/01/2023;15198;DARTY - Abonnement;14,99 €;LOG;03;Général
24/01/2023;15198;DARTY - Abonnement;-14,99 €;BIL;01;Général
20/01/2023;15199;Tenue compte PEA;17,50 €;BAS;05;Général
20/01/2023;15199;Tenue compte PEA;-17,50 €;BIL;01;Général
20/01/2023;15200;Tenue compte PEA;17,50 €;BAS;05;Général
20/01/2023;15200;Tenue compte PEA;-17,50 €;BIL;01;Général
06/02/2023;15201;Carrefour;51,71 €;ALI;01;Général
06/02/2023;15201;Carrefour;22,20 €;SAN;02;Général
06/02/2023;15201;Carrefour;19,07 €;LOG;02;Général
06/02/2023;15201;Carrefour;-92,98 €;BIL;01;Général
07/02/2023;15202;MAIF - Assurance;306,13 €;BAS;01;Général
07/02/2023;15202;MAIF - Assurance;-306,13 €;BIL;01;Général
16/01/2023;15203;Avance crédit d'impôt;-59,00 €;IMP;01;Général
16/01/2023;15203;Avance crédit d'impôt;59,00 €;BIL;01;Général
03/02/2023;15204;CPAM Pension;-705,31 €;PRF;05;MC
03/02/2023;15204;CPAM Pension - Prélèvement à la source;110,98 €;IMP;01;Général
03/02/2023;15204;CPAM Pension;594,33 €;BIL;01;Général
30/01/2023;15205;AXA Pension;-395,38 €;PRF;05;MC
30/01/2023;15205;AXA Pension;62,20 €;IMP;01;Général
30/01/2023;15205;AXA Pension;333,18 €;BIL;01;Général
01/02/2023;15206;POLE EMPLOI - ARE;-1 128,09 €;PRF;01;MC
01/02/2023;15206;POLE EMPLOI - ARE - Prélèvement à la source;171,43 €;IMP;01;Général
01/02/2023;15206;POLE EMPLOI - ARE;956,66 €;BIL;01;Général
24/01/2023;15207;Ecriture banque erronée/annulée PEA;35,00 €;BIL;01;Général
24/01/2023;15207;Ecriture banque erronée/annulée PEA;-35,00 €;BIL;01;Général
18/02/2023;15208;Remboursement frais MC à la famille;-144,00 €;BIL;98;MC
18/02/2023;15208;Remboursement frais MC à la famille;144,00 €;BIL;01;Général
26/01/2023;15209;La caraque;35,60 €;ALI;01;Général
10/01/2023;15209;Pharmacie Championnet;9,90 €;SAN;01;Général
09/02/2023;15209;Parking;8,60 €;ALI;01;Général
25/01/2023;15209;Free Mobile;19,99 €;LOG;08;MC
25/01/2023;15209;Tag - Free Mobile;1,80 €;ALI;01;Général
15/01/2023;15209;Remboursement frais MC pour la famille;-75,89 €;BIL;01;Général
28/01/2023;15210;Pain;4,30 €;ALI;01;Général
28/01/2023;15210;Essence Clio blanche;71,99 €;VOI;02;Clioblanche
09/02/2023;15210;Essence Dacia;84,71 €;VOI;02;Dacia
11/02/2023;15210;Boulangerie;10,40 €;ALI;01;Général
13/02/2023;15210;Pain;1,50 €;ALI;01;Général
17/02/2023;15210;Pain;2,30 €;ALI;01;Général
18/02/2023;15210;Boulangerie;9,40 €;ALI;01;Général
18/02/2023;15210;Intermarché Alimentation;27,83 €;ALI;01;Général
18/02/2023;15210;Bricomarché - Ampoules;18,08 €;LOG;02;Général
18/02/2023;15210;Les Gérentes;46,76 €;ALI;01;Général
18/02/2023;15210;Dépenses Bruno;-277,27 €;BIL;98;Bruno
18/02/2023;15211;Remboursement frais Bruno;-277,27 €;BIL;01;Général
18/02/2023;15211;Remboursement frais Bruno;277,27 €;BIL;98;Bruno
15/02/2023;15212;Rbst MFTGS;-20,50 €;SAN;01;MC
15/02/2023;15212;Rbst MFTGS;20,50 €;BIL;01;Général
25/02/2023;15213;Ithurrico Etchea - Copropriété;-65,12 €;BIL;01;Général
25/02/2023;15213;Ithurrico Etchea - Copropriete;65,12 €;RFN;01;Texto
25/02/2023;15214;Spirou réabonnement;-119,00 €;BIL;01;Général
25/02/2023;15214;Spirou réabonnement;119,00 €;LOI;03;Général
20/02/2023;15215;Boulangerie école L'Aura;27,19 €;ALI;01;Général
20/02/2023;15215;Boulangerie école L'Aura;-27,19 €;BIL;01;Premier
20/02/2023;15216;Eau vive;27,14 €;ALI;01;Général
20/02/2023;15216;Eau vive;-27,14 €;BIL;01;Premier
20/02/2023;15217;Pharmacie des Béalières;13,60 €;SAN;01;Général
20/02/2023;15217;Pharmacie des Béalières;-13,60 €;BIL;01;Premier
21/02/2023;15218;Carrefour;-76,58 €;BIL;01;Général
21/02/2023;15218;Carrefour;46,81 €;ALI;01;Général
21/02/2023;15218;Carrefour;9,60 €;SAN;02;Général
21/02/2023;15218;Carrefour;20,17 €;LOG;02;Général
23/02/2023;15219;Carrefour;58,74 €;VOI;02;Clioblanche
23/02/2023;15219;Carrefour;-58,74 €;BIL;01;Premier
23/02/2023;15220;Carrefour;-2,99 €;BIL;01;Général
23/02/2023;15220;Carrefour;2,99 €;ALI;01;Général
24/02/2023;15221;Union primeurs;40,04 €;ALI;01;Général
24/02/2023;15221;Union primeurs;-40,04 €;BIL;01;Premier
24/02/2023;15222;Eau vive;14,13 €;ALI;01;Général
24/02/2023;15222;Eau vive;-14,13 €;BIL;01;Premier
27/02/2023;15223;Casino;1,43 €;SAN;02;Bruno
27/02/2023;15223;Casino;-1,43 €;BIL;01;Premier
22/02/2023;15224;Divers alimentation;4,00 €;ALI;01;Général
22/02/2023;15224;Divers alimentation;-4,00 €;BIL;00;Général
01/03/2023;15225;Cadeau de Noël en retard;-300,00 €;BIL;01;Général
01/03/2023;15225;Cadeau de Noël en retard;300,00 €;SCO;05;Clément
28/02/2023;15226;Parking Gre;2,80 €;VOI;01;Général
28/02/2023;15226;Parking Gre;-2,80 €;BIL;01;Premier
28/02/2023;15227;King Jouet;24,99 €;LOI;06;Général
28/02/2023;15227;King Jouet;-24,99 €;BIL;01;Premier
28/02/2023;15228;Carrefour;22,70 €;ALI;01;Général
28/02/2023;15228;Carrefour;-22,70 €;BIL;01;Général
28/02/2023;15229;Back2memories;-240,00 €;BIL;01;Général
28/02/2023;15229;Back2memories;240,00 €;LOI;03;Général
